,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,scenario,wind_condition,transmission_setting
12787,DE0 409 battery,6.65948816,51.59944832,98749.91434731155,98749.9196998964,0.12278712386054999,0.005116151739337255,2025-04-08 01:00:00,scenario1,notwindy,fixed
12788,DE0 66 battery,7.99330606,51.82304692,98748.37308546389,98748.38011206039,0.12275624266852556,0.005114872464506223,2025-04-08 00:00:00,scenario1,notwindy,fixed
12789,DE0 248 battery,7.83156868,51.75347834,98748.28959171551,98748.29680100441,0.12274531514474568,0.005114418658376463,2025-04-08 00:00:00,scenario1,notwindy,fixed
12790,DE0 320 battery,6.68323178,51.57535498,98749.45876292045,98749.46412768587,0.12274035845053483,0.005114198043783592,2025-04-08 01:00:00,scenario1,notwindy,fixed
12791,DE0 418 battery,6.70376059,51.55830038,98749.04721720255,98749.05259964289,0.12270604621174688,0.005112773482671909,2025-04-08 01:00:00,scenario1,notwindy,fixed
12792,DE0 354 battery,8.43914966,50.05917248,98747.2139927018,98747.2215260583,0.12265810532624791,0.0051107805375193525,2025-04-08 00:00:00,scenario1,notwindy,fixed
12793,DE0 385 battery,8.5309437,50.04763087,98747.07106614845,98747.07861554415,0.12263859217935097,0.00510996633391591,2025-04-08 23:00:00,scenario1,notwindy,fixed
12794,DE0 18 battery,6.71457229,51.52657465,98747.99872791291,98748.00414595581,0.12260163308199455,0.0051084216034566286,2025-04-08 01:00:00,scenario1,notwindy,fixed
12795,DE0 198 battery,7.9926536,51.6838744,98746.72275007912,98746.72991485125,0.12259789162209617,0.005108274544498219,2025-04-08 00:00:00,scenario1,notwindy,fixed
12796,DE0 272 battery,8.53684884,50.07793906,98746.34484629445,98746.35246169768,0.12256307039227596,0.005106823252140174,2025-04-08 23:00:00,scenario1,notwindy,fixed
12797,DE0 406 battery,8.49220934,50.08406587,98746.15941567281,98746.16704096743,0.12254776233081212,0.005106183924980545,2025-04-08 23:00:00,scenario1,notwindy,fixed
12798,DE0 218 battery,8.47102388,50.09739827,98745.61012328079,98745.61780138809,0.12249535088681049,0.005104007451230397,2025-04-08 23:00:00,scenario1,notwindy,fixed
12799,DE0 334 battery,7.17172433,51.55481363,98746.66753514022,98746.67302265314,0.12247432091757651,0.0051031164088589116,2025-04-08 01:00:00,scenario1,notwindy,fixed
12800,DE0 239 battery,7.73781377,51.51691365,98745.16371589321,98745.17072250371,0.12242758001493258,0.005101176835198763,2025-04-08 00:00:00,scenario1,notwindy,fixed
12801,DE0 392 battery,7.7003377,51.4994824,98744.99831660908,98745.00529725615,0.12240936363944144,0.005100415011218374,2025-04-08 00:00:00,scenario1,notwindy,fixed
12802,DE0 149 battery,8.21080733,51.17775111,98743.99988193977,98744.00728264687,0.12228396163948675,0.005095195596031584,2025-04-08 00:00:00,scenario1,notwindy,fixed
12803,DE0 346 battery,8.6840986,51.4350473,98742.27766037553,98742.28549690999,0.12212331696017584,0.005088502656264848,2025-04-08 01:00:00,scenario1,notwindy,fixed
12804,DE0 119 battery,8.62434959,51.42780951,98742.09289729451,98742.100451327,0.12207138190545533,0.005086337735906272,2025-04-08 00:00:00,scenario1,notwindy,fixed
12805,DE0 442 battery,8.6677816,51.4371488,98741.60177975583,98741.60934384783,0.12202691798197658,0.005084486777940469,2025-04-08 01:00:00,scenario1,notwindy,fixed
12806,DE0 73 battery,8.58623609,50.13520039,98740.54389626686,98740.55201701436,0.12200271937865699,0.005083478647774986,2025-04-08 23:00:00,scenario1,notwindy,fixed
12807,DE0 209 battery,9.0957174,51.1638967,98740.49625149177,98740.5042657399,0.12193366536926871,0.005080601397183537,2025-04-08 23:00:00,scenario1,notwindy,fixed
12808,DE0 281 battery,8.9079328,51.3900981,98739.78991574793,98739.7977113955,0.12190091539365036,0.0050792354031351135,2025-04-08 01:00:00,scenario1,notwindy,fixed
12809,DE0 139 battery,8.99235496,51.34334464,98739.74915680231,98739.75696993855,0.12189600137002717,0.005079028359366761,2025-04-08 00:00:00,scenario1,notwindy,fixed
12810,DE0 45 battery,9.01284744,47.84470229,98737.46517961194,98737.47363092282,0.1218845615459927,0.005078554854590978,2025-04-08 00:00:00,scenario1,notwindy,fixed
12811,DE0 214 battery,8.86201735,47.80631981,98737.36524901883,98737.37370796321,0.12188411738125482,0.005078536324175422,2025-04-08 23:00:00,scenario1,notwindy,fixed
