line_id,bus0,bus1,number_of_networks_congested,list_of_networks_congested,average_loading_across_networks,maximum_loading_across_networks,min_loading_across_networks,loading_change_vs_fixed,line_length,carrier,bus0_x,bus0_y,country,x_coordinate,y_coordinate
633,DE0 56,DE0 7,1,scenario2040-TP_windvariability_projects,67.13,67.13,67.13,,,,,,,,
605,DE0 415,DE0 53,1,scenario2040-fixed_windvariability_fixed,66.86,66.86,66.86,,39.927837838254426,AC,9.58562544,51.33165459,DE,,
597,DE0 40,DE0 410,1,scenario2040-ext_notwindy_extendable,66.82,66.82,66.82,,15.137427375122408,AC,9.88548909,48.30409906,DE,,
544,DE0 35,DE0 55,1,scenario2040-ext_notwindy_extendable,66.36,66.36,66.36,,75.76692095873119,AC,9.08981831,49.96859322,DE,,
137,DE0 14,DE0 54,1,scenario2040-TP_windvariability_projects,66.23,66.23,66.23,,11.54300420900072,AC,6.99593046,51.51407212,DE,,
635,DE0 56,DE0 72,1,scenario2040-TP_windvariability_projects,66.22,66.22,66.22,,,,,,,,
211,DE0 170,DE0 231,1,scenario2040-ext_windvariability_extendable,66.11,66.11,66.11,,38.036038626213625,AC,7.49992466,50.34538161,DE,,
54,DE0 113,DE0 55,1,scenario2040-ext_notwindy_extendable,65.83,65.83,65.83,,85.62525392862842,AC,8.95882952,50.08272666,DE,,
357,DE0 231,DE0 87,1,scenario2040-ext_windvariability_extendable,65.82,65.82,65.82,,14.566299488263189,AC,7.6927518,50.0263746,DE,,
587,DE0 390,DE0 5,1,scenario2040-ext_windy_extendable,65.81,65.81,65.81,,14.008526378716162,AC,8.49096373,49.24502648,DE,,
373,DE0 24,DE0 68,1,scenario2040-ext_notwindy_extendable,65.71,65.71,65.71,,58.66754812303214,AC,12.18536687,53.81473944,DE,,
280,DE0 195,DE0 54,1,scenario2040-TP_windvariability_projects,65.45,65.45,65.45,,37.266763039537636,AC,14.42824517,51.88883033,DE,,
454,DE0 279,DE0 3,1,scenario2040-TP_windvariability_projects,65.29,65.29,65.29,,8.149530194124733,AC,8.01993653,50.92373258,DE,,
295,DE0 202,DE0 48,1,scenario2040-ext_notwindy_extendable,65.12,65.12,65.12,,28.38958978219873,AC,10.3661614,52.28451549,DE,,
100,DE0 130,DE0 153,1,scenario2040-ext_notwindy_extendable,65.07,65.07,65.07,,31.31978889689424,AC,9.42154427,48.67541575,DE,,
32,DE0 105,DE0 354,1,scenario2040-ext_windvariability_extendable,64.94,64.94,64.94,,35.78914052852964,AC,8.1238717,50.30985,DE,,
322,DE0 216,DE0 339,1,scenario2040-ext_windvariability_extendable,64.75,64.75,64.75,,5.392680258171291,AC,7.24407784,51.3996098,DE,,
533,DE0 339,DE0 363,1,scenario2040-ext_windvariability_extendable,64.7,64.7,64.7,,7.3079609661372045,AC,7.16822951,51.38901495,DE,,
321,DE0 216,DE0 277,1,scenario2040-ext_windvariability_extendable,64.49,64.49,64.49,,7.081274062020227,AC,7.24407784,51.3996098,DE,,
571,DE0 375,DE0 382,1,scenario2040-ext_windvariability_extendable,64.48,64.48,64.48,,8.278491155683337,AC,6.9357514,51.1420911,DE,,
439,DE0 276,DE0 396,1,scenario2040-ext_windvariability_extendable,64.44,64.44,64.44,,8.717727052779667,AC,7.26426426,51.57381656,DE,,
447,DE0 281,DE0 52,1,scenario2040-ext_windvariability_extendable,64.33,64.33,64.33,,41.04476073776352,AC,8.9079328,51.3900981,DE,,
